Product Name,Supplier,Category,Dimensions,New Stock Level,Unit,Area,Location Name
Ground Coffee Beans,Sumatra Imports Co.,Raw Material,"50kg bag",45,Bag,Main Storage,Dry Goods Rack 1
Chicken Breast Fillets,Poultry Pros Ltd.,Meat,"10kg box",120,Box,Kitchen/Prep,Freezer 1
Lettuce (Romaine),Fresh Harvest Farms,Produce,"5kg crate",85,Crate,Kitchen/Prep,Salad Fridge
All-Purpose Flour,Grains & Goods Inc.,Raw Material,"25kg bag",60,Bag,Main Storage,Baking Shelf
Mozzarella Cheese,Dairy Delight Corp.,Dairy,"2.5kg block",95,Block,Kitchen/Prep,Pizza Cooler
Tomato Puree (Canned),Italian Supply Co.,Canned Goods,"12-pack case",110,Case,Main Storage,Canned Goods Shelf
Granulated Sugar,Sweeteners Global,Raw Material,"10kg bag",55,Bag,Main Storage,Dry Goods Rack 2
Salmon Fillets (Frozen),Ocean Catch Ltd.,Seafood,"5kg box",75,Box,Kitchen/Prep,Freezer 2
Olive Oil (Extra Virgin),Mediterra Oils,Oils & Fats,"5-liter tin",40,Tin,Kitchen/Prep,Hot Line Station
White Rice (Basmati),Asia Grains Inc.,Raw Material,"20kg bag",90,Bag,Main Storage,Dry Goods Rack 1
Sparkling Water (Bottled),Aqua Vita Co.,Beverages,"24-pack case",150,Case,Kitchen/Prep,Bar Fridge
Red Wine Vinegar,Specialty Vinegars,Condiments,"1-liter bottle",35,Bottle,Kitchen/Prep,Salad Bar Counter
Pork Tenderloin,Meat Masters Inc.,Meat,"8kg box",65,Box,Kitchen/Prep,Freezer 1
Avocados (Hass),Tropical Fruit Co.,Produce,"4kg crate",70,Crate,Kitchen/Prep,Produce Counter
Yeast (Active Dry),Baking Essentials,Raw Material,"1kg pouch",25,Pouch,Kitchen/Prep,Baking Cooler
Milk (Full Cream),Dairy Delight Corp.,Dairy,"1-liter carton",180,Carton,Kitchen/Prep,Coffee Station Fridge
Black Pepper (Ground),Spice Route Inc.,Spices,"500g container",50,Container,Kitchen/Prep,Spice Rack
Potatoes (Russet),Fresh Harvest Farms,Produce,"10kg bag",100,Bag,Main Storage,Root Vegetable Bin
Tuna Chunks (Canned),Sea Gold Products,Canned Goods,"6-pack case",80,Case,Main Storage,Canned Goods Shelf
Orange Juice (Concentrate),Citrus World Inc.,Beverages,"5-liter jug",45,Jug,Kitchen/Prep,Bar Freezer
Eggs (Large),Local Farm Eggs,Dairy,"360-count flat",115,Flat,Kitchen/Prep,Breakfast Station Fridge
Basil (Fresh),Herb Garden Supply,Produce,"500g bunch",30,Bunch,Kitchen/Prep,Salad Fridge
Ketchup,Condiment Kings,Condiments,"1-gallon jug",90,Jug,Main Storage,Service Supplies Shelf
Burger Buns (Sesame),Bread Basket Co.,Baked Goods,"80-count bag",130,Bag,Kitchen/Prep,Grill Station Rack
Vanilla Extract,Flavoring Experts,Flavorings,"500ml bottle",20,Bottle,Main Storage,Baking Shelf
Shrimp (Peeled & Deveined),Ocean Catch Ltd.,Seafood,"2kg bag",55,Bag,Kitchen/Prep,Freezer 2
Soy Sauce (Low Sodium),Asia Grains Inc.,Condiments,"1-gallon jug",70,Jug,Kitchen/Prep,Wok Station
Butter (Unsalted),Dairy Delight Corp.,Dairy,"1kg block",60,Block,Kitchen/Prep,Baking Cooler
Cilantro (Dried),Spice Route Inc.,Spices,"250g jar",40,Jar,Kitchen/Prep,Spice Rack
Beef Sirloin Steaks,Meat Masters Inc.,Meat,"5kg box",50,Box,Kitchen/Prep,Grill Station Freezer
